﻿Codi Província;Nom Província;Codi Vegueria;Nom Vegueria;Codi Comarca;Nom Comarca;Codi Municipi;Nom Municipi;Població;Cens;Participació 13:00;Participació 18:00;Participació 20:00;Abstenció;Vots nuls;Vots en blanc;Vots a candidatures;Vots vàlids;PSC Vots;ERC Vots;JxCat Vots;VOX Vots;ECP-PEC Vots;CUP-G Vots;Cs Vots;PP Vots;PDeCAT Vots;RECORTES CERO-GV-M Vots;MPIC Vots;FNC Vots;PNC Vots;PCTC Vots;IZQP Vots;SOM TERRES DE L'EBRE Vots;PUM+J Vots;UEP Vots;EB Vots;UNIDOS SI-DEf-PDSJE-SOMOS ESPAÑA Vots;ALIANZA C V Vots;SCAT Vots;M.C.R. Vots
25;Lleida;5;Alt Pirineu i territori d'Aran;25;Pallars Jussà;25001;Abella de la Conca;183;134;25;48;62;72;0;2;60;62;3;16;29;0;2;9;1;0;0;0;0;0;0;0;0;;0;;0;;;0;
8;Barcelona;1;Barcelona;11;Baix Llobregat;08001;Abrera;12538;9262;2309;4263;4966;4296;66;42;4858;4900;1647;982;381;561;412;167;413;181;45;27;7;2;2;18;13;;;;;;;;
25;Lleida;4;Lleida;23;Noguera;25002;Àger;580;457;131;223;301;156;6;4;291;295;31;83;102;9;5;34;7;4;13;0;0;0;1;2;0;;0;;0;;;0;
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;5411;3733;926;1743;2053;1680;37;38;1978;2016;203;602;755;92;43;97;44;47;51;2;1;2;2;2;0;;3;;32;;;0;
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;282;218;77;145;170;48;1;1;168;169;6;28;66;5;2;38;2;2;18;0;0;1;0;0;0;;;;;;;;
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;863;596;201;351;393;203;14;5;374;379;32;107;104;17;16;56;14;2;18;0;0;5;0;0;0;;1;2;;;0;;
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;2512;2048;456;975;1230;818;15;15;1200;1215;141;347;393;47;51;115;27;23;42;4;4;3;1;1;1;;;;;;;;
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;930;739;193;381;404;335;7;5;392;397;64;106;99;16;25;51;12;5;10;0;0;3;0;1;;0;0;;;0;;;0
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;765;600;188;393;446;154;6;0;440;440;32;93;200;20;12;49;14;6;8;1;1;1;2;0;0;;0;1;;;0;;
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;2567;1416;426;741;902;514;17;15;870;885;78;193;138;31;18;26;13;75;289;1;2;1;1;0;0;;1;;2;;;1;
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;811;566;189;319;364;202;11;5;348;353;34;108;112;24;13;25;5;2;20;0;0;1;0;1;2;;0;;1;;;0;
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;320;262;72;153;167;95;0;4;163;167;31;37;52;2;4;18;5;4;5;0;1;1;0;0;0;;1;;2;;;0;
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';361;315;126;172;201;114;9;3;189;192;30;62;43;16;6;11;7;6;5;2;0;0;0;0;1;;0;;0;;;0;
17;Girona;3;Girona;2;Alt Empordà;17003;Albanyà;155;112;33;70;77;35;0;0;77;77;0;17;36;0;4;16;2;0;1;0;1;0;0;0;0;;0;0;;;0;;
25;Lleida;4;Lleida;33;Segrià;25007;Albatàrrec;2236;1399;214;662;742;657;22;9;711;720;96;233;181;54;26;45;31;20;17;3;1;0;0;0;0;;0;;3;;;1;
25;Lleida;4;Lleida;23;Noguera;25008;Albesa;1561;1089;274;551;625;464;6;10;609;619;54;227;191;9;13;62;9;24;17;0;0;0;0;0;0;;2;;1;;;0;
25;Lleida;4;Lleida;18;Garrigues;25009;Albi, l';744;594;180;361;413;181;4;8;401;409;38;123;152;12;12;28;12;14;6;0;1;0;0;0;0;;1;;1;;;1;
43;Tarragona;8;Penedès;12;Baix Penedès;43002;Albinyana;2468;1933;447;761;849;1084;22;2;825;827;218;159;99;103;44;31;64;33;68;2;0;0;0;1;;0;1;;;0;;;2
